Authors,Article Title,Source Title,Publication Year,DOI,Source DB
"kakarika, maria ; lianidou, theano ; qu, yuanmei (elly) ; bligh, michelle c.",organizational behaviour in the covid‐19 context: effects of supervisor‐directed deviance on retaliation against subordinates.,British Journal of Management,2022,10.1111/1467-8551.12579,PsycInfo
"mumtaz, s",understanding the positive and negative outcomes of developmental challenges on the social psychology of female executives in top management teams,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,2023,10.1111/ajsp.12575,WOS
"hirschfeld, robert r. ; bernerth, jeremy b. ; walker, h. jack","explaining leader well‐being in the workplace from leaders’ identity, reputation, and charisma.",Applied Psychology: An International Review,2021,10.1111/apps.12276,PsycInfo
"rehbock, sk; hubner, s; knipfer, k; peus, c",what kind of leader am i? an exploration of professionals' leader identity construal,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,2023,10.1111/apps.12389,WOS
"jurstakova, klara ; ntontis, evangelos ; reicher, stephen",impresarios of identity: how the leaders of czechoslovakia's ‘candlelight demonstration’ enabled effective collective action in a context of repression.,British Journal of Social Psychology,2024,10.1111/bjso.12671,PsycInfo
"van vugt, m","the missing link: leadership, identity, and the social brain",BRITISH JOURNAL OF PSYCHOLOGY,2012,10.1111/j.2044-8295.2011.02082.x,WOS
"rodgers, ms; kim, ty; chen, tt; david, e",effects of leader group prototypicality on leadership outcomes through leader identity threat: the moderating effects of leader perceptions of organizational support,JOURNAL OF MANAGEMENT STUDIES,2024,10.1111/joms.12927,WOS
"kukenberger, mr; d'innocenzo, l","the building blocks of shared leadership: the interactive effects of diversity types, team climate, and time",PERSONNEL PSYCHOLOGY,2020,10.1111/peps.12318,WOS
"jennings, re; lanaj, k; koopman, j; mcnamara, g",reflecting on one's best possible self as a leader: implications for professional employees at work,PERSONNEL PSYCHOLOGY,2022,10.1111/peps.12447,WOS
"waldman, da; stephan, u; song, zl; erez, m; siegel, d",organizational behavior and human resource management perspectives on entrepreneurship: lessons learned and new directions,PERSONNEL PSYCHOLOGY,2024,10.1111/peps.12636,WOS
"friedman, sd",learning to lead in all domains of life,AMERICAN BEHAVIORAL SCIENTIST,2006,10.1177/0002764206286389,WOS
"gregor, ma; o'brien, km",the changing face of psychology: leadership aspirations of female doctoral students,COUNSELING PSYCHOLOGIST,2015,10.1177/0011000015608949,WOS
"humphreys, jh; novicevic, mm; smothers, j; haden, ssp; hayek, m; williams, wa; oyler, jd; clayton, rw",the collective endorsement of james meredith: initiating a leader identity construction process,HUMAN RELATIONS,2015,10.1177/0018726714556292,WOS
"meier, f; carroll, b","making up leaders: reconfiguring the executive student through profiling, texts and conversations in a leadership development programme",HUMAN RELATIONS,2020,10.1177/0018726719858132,WOS
